nom,dosage,substance,presentation,forme,statut
CORRECTOL,0.001,INOSINE (MONOPHOSPHATE),FLACON DE 10 ML,COLLYRE,Commercialisé
CORTANCYL,1 MG,PREDNISONE,BOITE DE 30,COMPRIME,Commercialisé
CORTANCYL,20 MG,PREDNISONE,BOITE DE 20,COMPRIME,Commercialisé
CORTANCYL,5 MG,PREDNISONE,BOITE DE 30,COMPRIME SECABLE,Commercialisé
CORTIMENT,9 MG,BUDESONIDE,BOITE DE 30,COMPRIME A LIBERATION PROLONGEE,Non Commercialisé
CORTIS,250 µG / DOSE,BECLOMETASONE,FLACON DE 200 DOSES,SUSPENSION POUR INHALATION,Non Commercialisé
CORTIS,50 µG / DOSE,BECLOMETASONE,FLACON DE 200 DOSES,SUSPENSION POUR INHALATION,Non Commercialisé
CORTIVENT,250 µG / DOSE,BECLOMETASONE,FLACON DE 200 DOSES,SUSPENSION POUR INHALATION BUCCALE,Commercialisé AO
CORTIVENT,50 µG / DOSE,BECLOMETASONE,FLACON DE 200 DOSES,SUSPENSION POUR INHALATION BUCCALE,Commercialisé AO
CORTOFTAL,-,CLOBETASONE (BUTYRATE),FLACON DE 5 ML,COLLYRE,Non Commercialisé
CORVASAL,2 MG,MOLSIDOMINE,BOITE DE 30,COMPRIME SECABLE,Commercialisé
CORVASAL,4 MG,MOLSIDOMINE,BOITE DE 30,COMPRIME,Non Commercialisé
CORYZALIA,-,HOMEO,BOITE DE 40,COMPRIME DRAGEFIE,Commercialisé
COSAPAT,100 MG,LACOSAMIDE,BOITE DE 14 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,100 MG,LACOSAMIDE,BOITE DE 28 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,100 MG,LACOSAMIDE,BOITE DE 56 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,150 MG,LACOSAMIDE,BOITE DE 14 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,150 MG,LACOSAMIDE,BOITE DE 28 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,150 MG,LACOSAMIDE,BOITE DE 56 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,200 MG,LACOSAMIDE,BOITE DE 14 COMPRIMÉS,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,200 MG,LACOSAMIDE,BOITE DE 28 COMPRIMÉS,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,200 MG,LACOSAMIDE,BOITE DE 56 COMPRIMÉS,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,50 MG,LACOSAMIDE,BOITE DE 14 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,50 MG,LACOSAMIDE,BOITE DE 28 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSAPAT,50 MG,LACOSAMIDE,BOITE DE 56 COMPRIMES,COMPRIMÉ PELLICULÉ,Commercialisé
COSENTYX,150 MG,SECUKINUMAB,BOITE DE 2,SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,Retiré du Marché
COSENTYX,150 MG,SECUKINUMAB,BOITE DE 2,SOLUTION INJECTABLE EN STYLO PRE-REMPLIE,Commercialisé
COSMOFER,50 MG / ML,FER (HYDROXIDE),BOITE DE 5 AMPOULE DE 2 ML,SOLUTION INJECTABLE IV-IM,Non Commercialisé
COSOPT,20 MG / 5 MG,DORZOLAMIDE (CHLORHYDRATE) // TIMOLOL (MALEATE),FLACON DE 5 ML,COLLYRE,Non Commercialisé
COSOPT,20 MG / 5 MG,DORZOLAMIDE (CHLORHYDRATE) // TIMOLOL (MALEATE),"BOITE DE 4 SACHETS CONTENANT 15 UNIDOSES DE 0,2 ML",COLLYRE RECIPIENT UNIDOSE,Non Commercialisé
COSTAL,10 MG,ATORVASTATINE,BOITE DE 10,COMPRIME PELLICULE,Non Commercialisé
COSTAL,10 MG,ATORVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COSTAL,20 MG,ATORVASTATINE,BOITE DE 10,COMPRIME PELLICULE,Non Commercialisé
COSTAL,20 MG,ATORVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COSTAL,40 MG,ATORVASTATINE,BOITE DE 10,COMPRIME PELLICULE,Non Commercialisé
COSTAL,40 MG,ATORVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COSTARVAL,"160 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 14,COMPRIME PELLICULE,Non Commercialisé
COSTARVAL,"160 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COSTARVAL,160 MG / 25 MG,VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 14,COMPRIME PELLICULE,Non Commercialisé
COSTARVAL,160 MG / 25 MG,VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COSTARVAL,"80 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 14,COMPRIME PELLICULE,Non Commercialisé
COSTARVAL,"80 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COSYREL,5 MG / 5 MG,PERINDOPRIL (ARGININE) // BISOPROLOL (FUMARATE),BOITE DE 30,COMPRIME PELLICULE SECABLE,Commercialisé
COSYREL,5 MG / 10 MG,PERINDOPRIL (ARGININE) // BISOPROLOL (FUMARATE),BOITE DE 30,COMPRIME PELLICULE SECABLE,Commercialisé
COSYREL,10 MG / 5 MG,PERINDOPRIL (ARGININE) // BISOPROLOL (FUMARATE),BOITE DE 30,COMPRIME PELLICULE SECABLE,Commercialisé
COSYREL,10 MG / 10 MG,PERINDOPRIL (ARGININE) // BISOPROLOL (FUMARATE),BOITE DE 30,COMPRIME PELLICULE SECABLE,Commercialisé
COTAREG,"160 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COTAREG,160 MG / 25 MG,VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COTAREG,"80 MG / 12,5 MG",VALSARTAN // HYDROCHLOROTHIAZIDE,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
COTELLIC,20 MG,COBIMETINIB,BOITE DE 63,COMPRIME PELLICULE,Commercialisé
COTEVETEN,"600 MG / 12,5 MG",EPROSARTAN // HYDROCHLOROTHIAZIDE,Boite de 28,COMPRIME PELLICULE,Non Commercialisé
COTIPRED,20 MG,PREDNISOLONE,BOITE DE 20,COMPRIME EFFERVESCENT,Commercialisé
COVERAM,10 MG / 10 MG,PERINDOPRIL (ARGININE) // AMLODIPINE (BESILATE),BOITE DE 30,COMPRIME,Commercialisé
COVERAM,10 MG / 5 MG,PERINDOPRIL (ARGININE) // AMLODIPINE (BESILATE),BOITE DE 30,COMPRIME,Commercialisé
COVERAM,5 MG / 10 MG,PERINDOPRIL (ARGININE) // AMLODIPINE (BESILATE),BOITE DE 30,COMPRIME,Commercialisé
COVERAM,5 MG / 5 MG,PERINDOPRIL (ARGININE) // AMLODIPINE (BESILATE),BOITE DE 30,COMPRIME,Commercialisé
COVERSYL,10 MG,PERINDOPRIL (ARGININE),BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COVERSYL,5 MG,PERINDOPRIL (ARGININE),BOITE DE 30,COMPRIME PELLICULE,Commercialisé
COZAAR,100 MG,LOSARTAN (POTASSIQUE),BOITE DE 28,COMPRIME PELLICULE,Non Commercialisé
COZAAR,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 28,COMPRIME ENROBE,Non Commercialisé
COZAAR,50 MG,LOSARTAN (POTASSIQUE),BOITE DE 14,COMPRIME PELLICULE,Retiré du Marché
CREON,10 000 U,POUDRE DE PANCREAS,FLACON DE 50 GELULES,GELULES CONTENANT DES MICROSPHERES GASTRO-RESISTANTES,Commercialisé
CREON,25 000 U,POUDRE DE PANCREAS,FLACON DE 50 GELULES,POUDRE DE PANCREAS,Commercialisé
CRESEMBA,100 MG,ISAVUCONAZONIUM (SULFATE),BOITE DE 14,GELULES,Commercialisé AO
CRESEMBA,200 MG,ISAVUCONAZONIUM (SULFATE),FLACON DE 10 ML,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,Commercialisé AO
CRESTOR,10 MG,ROSUVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
CRESTOR,20 MG,ROSUVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
CRESTOR,5 MG,ROSUVASTATINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
