nom,dosage,substance,presentation,forme,statut
ODIA,4 MG,GLIMEPIRIDE,BOITE DE 90,COMPRIME,Commercialisé Export
ODRIK,"0,5 MG",TRANDOLAPRIL,BOITE DE 28,GELULE,Non Commercialisé
ODRIK,2 MG,TRANDOLAPRIL,BOITE DE 28,GELULE,Non Commercialisé
ODRIK,4 MG,TRANDOLAPRIL,BOITE DE 28,GELULE,Non Commercialisé
OEDES,10 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Retiré du Marché
OEDES,10 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Retiré du Marché
OEDES,10 MG,OMEPRAZOLE,BOITE DE 56,GELULE,Retiré du Marché
OEDES,10 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Retiré du Marché
OEDES,20 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Commercialisé
OEDES,20 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OEDES,20 MG,OMEPRAZOLE,BOITE DE 56,GELULE,Commercialisé
OEDES,20 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 1+1 FLACON DE 10ML,LYOPHILISAT POUR USAGE PARENTERAL,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 5 + 5 FLACONS DE 10 ML,LYOPHILISAT POUR USAGE PARENTERAL,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 14,MICROGRANULES GASTRO-RESISTANTS EN GELULE,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 28,MICROGRANULES GASTRO-RESISTANTS EN GELULE,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 7,MICROGRANULES GASTRO-RESISTANTS EN GELULE,Non Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 1 FLACON DE POUDRE.,POUDRE POUR SOLUTION POUR PERFUSION,Commercialisé
OEDES,40 MG,OMEPRAZOLE,BOITE DE 56,MICROGRANULES GASTRO-RESISTANTS EN GELULE,AMM Sans Prix
OEDES,20 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 7,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OEDES,20 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 14,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OEDES,20 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 28,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OEDES,40 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 7,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OEDES,40 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 14,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OEDES,40 MG,OMEPRAZOLE / BICARBONATE DE SODIUM,BOITE DE 28,POUDRE POUR SUSPENSION ORALE EN SACHETS,AMM Sans Prix
OESTROGEL,0.0006,ESTRADIOL,TUBE DE 80 G,GEL,Retiré du Marché
OFEV,150 MG,NINTEDANIB ESILATE,BOITE DE 60,CAPSULE MOLLE,Commercialisé
OFEV,100 MG,NINTEDANIB ESILATE,BOITE DE 60,CAPSULES MOLLES,Commercialisé
OFIKEN,100 MG / 5 ML,CEFIXIME (TRIHYDRATE),FLACON DE 100 ML,POUDRE POUR SUSPENSION BUVABLE,Non Commercialisé
OFIKEN,100 MG / 5 ML,CEFIXIME (TRIHYDRATE),FLACON DE 30 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
OFIKEN,100 MG / 5 ML,CEFIXIME (TRIHYDRATE),FLACON DE 60 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
OFIKEN,200 MG,CEFIXIME (TRIHYDRATE),BOITE DE 16,COMPRIME PELLICULE,Commercialisé
OFIKEN,200 MG,CEFIXIME (TRIHYDRATE),BOITE DE 8,COMPRIME PELLICULE,Commercialisé
OFLOCET,200 MG / 40 ML,OFLOXACINE,BOITE DE 1 FLACON DE 40ML,SOLUTION INJECTABLE,Non Commercialisé
OFLOCET,"1,5 MG / 0,5 ML",OFLOXACINE,BOITE DE 20 RECIPIENTS UNIDOSE,SOLUTION AURICULAIRE,Commercialisé
OFLOCET,200 MG,OFLOXACINE,BOITE DE 10,COMPRIME PELLICULE,Retiré du Marché
OFLOXACINE MYLAN,200 MG / 40 ML,OFLOXACINE,BOITE DE 20 POCHES,SOLUTION POUR PERFUSION,Non Commercialisé
OFLUREX,200 MG,OFLOXACINE,BOITE DE 16,COMPRIME PELLICULE,Non Commercialisé
OFLUREX,200 MG,OFLOXACINE,BOITE DE 8,COMPRIME PELLICULE,Non Commercialisé
OFTACINE,"0,005",LEVOFLOXACINE,UN FLACON DE 5 ML,COLLYRE,Non Commercialisé
OFTALAR,0.001,PRANOPROFENE,FLACON DE 5 ML,COLLYRE,Non Commercialisé
OFTALMOTRIM,-,POLYMYXINE B (SULFATE) // TRIMETHOPRIME,FLACON DE 5 ML,COLLYRE,Retiré du Marché
OGIVRI,150 MG,TRASTUZUMAB,UNE BOITE DE 1 FLACON,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,Non Commercialisé
OGIVRI,420 MG,TRASTUZUMAB,UNE BOITE DE 1 FLACON,POUDRE POUR SOLUTION A DILUER POUR PERFUSION,Non Commercialisé
OKA-CARBOPLATIN,150 MG / 15 ML,CARBOPLATINE,BOITE DE 1 FLACON DE 15 ML,SOLUTION POUR PERFUSION (IV),Non Commercialisé
OKA-CARBOPLATIN,450 MG / 45 ML,CARBOPLATINE,BOITE DE 1 FLACON DE 45 ML,SOLUTION POUR PERFUSION (IV),Non Commercialisé
OKA-DOCETAXEL,20 MG / 5 ML,DOCETAXEL,BOITE DE 1 FLACON DE 5 ML,SOLUTION INJECTABLE,Non Commercialisé
OKA-DOCETAXEL,80 MG / 15 ML,DOCETAXEL,BOITE DE 1 FLACON DE 15 ML,SOLUTION INJECTABLE,Non Commercialisé
OKA-ETOPOSIDE,100 MG / 5 ML,ETOPOSIDE,BOITE DE 1 FLACON DE 5 ML,SOLUTION INJECTABLE,Non Commercialisé
OKA-PACLITAXEL,"100 MG / 16,7 ML",PACLITAXEL,BOITE DE 1 FLACON DE 20 ML,SOLUTION POUR PERFUSION (IV),Non Commercialisé
OKA-PACLITAXEL,30 MG / 5 ML,PACLITAXEL,BOITE DE 1 FLACON DE 5 ML,SOLUTION POUR PERFUSION (IV),Non Commercialisé
OKA-RUBICIN,10 MG,DOXORUBICINE (CHLORHYDRATE),BOITE DE 1 FLACON DE 15 ML,LYOPHILISAT POUR SOLUTION INJECTABLE,Non Commercialisé
OKA-RUBICIN,50 MG,DOXORUBICINE (CHLORHYDRATE),BOITE DE 1 FLACON DE 50ML,LYOPHILISAT POUR SOLUTION INJECTABLE,Non Commercialisé
OKA-VINBLASTIN,10 MG / 10 ML,VINBLASTINE,BOITE DE 1 FLACON DE 10ML,SOLUTION INJECTABLE,Non Commercialisé
OKA-VINCRISTINE,1 MG / ML,VINCRISTINE (SULFATE),BOITE DE 1 FLACON DE 1 ML,SOLUTION INJECTABLE,Non Commercialisé
OKAGEM,1000 MG,GEMCITABINE (CHLORHYDRATE),BOITE DE 1 FLACON DE 50ML,LYOPHYLISAT POUR SOLUTION IV,Non Commercialisé
OKAGEM,200 MG,GEMCITABINE (CHLORHYDRATE),BOITE DE 1 FLACON DE 10ML,LYOPHYLISAT POUR SOLUTION IV,Non Commercialisé
OLAMID COOPER,"2% + 0,5%",DORZOLAMIDE // TIMOLOL,BOITE D'UN FLACON DE 5 ML,COLLYRE EN SOLUTION,Commercialisé
OLANZAPINE MAPHAR,10 MG,OLANZAPINE,BOITE DE 30,COMPRIME ORODISPERSIBLE SECABLE,Commercialisé
OLANZAPINE MAPHAR,5 MG,OLANZAPINE,BOITE DE 30,COMPRIME ORODISPERSIBLE,Commercialisé
OLEDIZ,20 MG,ESOMEPRAZOLE,BOITE DE 7,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLEDIZ,20 MG,ESOMEPRAZOLE,BOITE DE 14,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLEDIZ,20 MG,ESOMEPRAZOLE,BOITE DE 28,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLEDIZ,40 MG,ESOMEPRAZOLE,BOITE DE 7,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLEDIZ,40 MG,ESOMEPRAZOLE,BOITE DE 14,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLEDIZ,40 MG,ESOMEPRAZOLE,BOITE DE 28,COMPRIME PELICULLE GASTRO-RESISTANT,Commercialisé
OLICLINOMEL N4-550 E,"9,11 / 5,06 / 4,54 / 2,11 / 2,64 / 3,22 / 2,55 / 1,76 / 2,46 / 2,99 / 2,20 / 1,85 / 0,79 / 0,18 / 2,55 / 1,96 / 4,29 / 2,38 / 0,90 / 160 / 0,59 G",ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2 LITRES,EMULSION ET SOLUTION POUR PERFUSION,Retiré du Marché
OLICLINOMEL N6-900 E,"14,08 / 7,82 / 7,01 / 3,26 / 4,08 / 4,97 / 3,94 / 2,72 / 3,81 / 4,62 / 3,40 / 2,86 / 1,22 / 0,27 / 3,94 / 4,90 / 3,58 / 0,90 / 240 / 0,59",ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2 L,EMULSION ET SOLUTION POUR PERFUSION,Retiré du Marché
OLICLINOMEL N7-1000 E,"16,56 / 9,20 / 8,24 / 3,84 / 4,80 / 5,84 / 4,64 / 3,20 / 4,48 / 5,44 / 4 / 3,36 / 1,44 / 0,32 / 4,64 / 4,90 / 4,29 / 3,58 / 0,90 / 320 / 0,59",ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 1 L,EMULSION ET SOLUTION POUR PERFUSION,Retiré du Marché
OLICLINOMEL N7-1000 E,"16,56 / 9,20 / 8,24 / 3,84 / 4,80 / 5,84 / 4,64 / 3,20 / 4,48 / 5,44 / 4 / 3,36 / 1,44 / 0,32 / 4,64 / 4,90 / 4,29 / 3,58 / 0,90 / 320 / 0,59",ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2 L,EMULSION ET SOLUTION POUR PERFUSION,Retiré du Marché
OLIGO-ELEMENTS AGUETTANT,"431,710 MG / 214,60 MG / 87,600 MG / 779,630 MG / 110,530 MG / 114,340 MG / 10,950 MG / 5,910 MG / 10,25 MG / 9,2 MG",FER (GLUCONATE) // GLUCONATE DE CUIVRE // GLUCONATE DE MANGANESE // GLUCONATE DE ZINC // FLUORURE DE SODIUM // GLUCONATE DE COBALTE // SELENITE DE SODIUM // IODURE DE SODIUM // MOLIBDATE D AMMONIUM QUADRIHYDRATE HEXAHYDRATE,BOITE DE 1 FLACON DE 10 ML,SOLUTION INJECTABLE,Non Commercialisé
OLIMEL N5E,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2000 ML,EMULSION POUR PERFUSION,Commercialisé AO
OLIMEL N7E,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 1000 ML,EMULSION POUR PERFUSION,Commercialisé AO
OLIMEL N7E,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2000 ML,EMULSION POUR PERFUSION,Commercialisé
OLIMEL N9,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 1000 ML,EMULSION POUR PERFUSION,Commercialisé AO
OLIMEL N9E,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 1000 ML,EMULSION POUR PERFUSION,Commercialisé AO
OLIMEL N9E,-,ACIDES AMINES // GLUCOSES // LIPIDES // SELS (ELECTROLYTES),POCHE DE 2000 ML,EMULSION POUR PERFUSION,Commercialisé
OLIPEN,"500 MG / 62,5 MG / 100 MG",AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL,BOITE DE 12,POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE,Commercialisé
OLIPEN,"500 MG / 62,5 MG / 100 MG",AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL,BOITE DE 16,POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE,Commercialisé
OLIPEN,"500 MG / 62,5 MG / 100 MG",AMOXICILLINE // ACIDE CLAVULANIQUE // CINEOL,BOITE DE 24,POUDRE POUR SUPENSION BUVABLE EN SACHET-DOSE,Commercialisé
OLIPLAT,100 MG,OXALIPLATINE,BOITE DE 1 FLACON,POUDRE INJECTABLE,Non Commercialisé
OLIPLAT,50 MG,OXALIPLATINE,BOITE DE 1 FLACON,POUDRE INJECTABLE,Non Commercialisé
OLMADIP,10 MG,AMLODIPINE,BOITE DE 14,COMPRIME,Non Commercialisé
OLMADIP,10 MG,AMLODIPINE,BOITE DE 28,COMPRIME,Commercialisé
OLMADIP,5 MG,AMLODIPINE,BOITE DE 14,COMPRIME,Non Commercialisé
OLMADIP,5 MG,AMLODIPINE,BOITE DE 28,COMPRIME,Commercialisé
OLMETEC,10 MG,OLMESARTAN MEDOXOMIL,BOITE DE 30,COMPRIME PELLICULE,Non Commercialisé
OLMETEC,20 MG,OLMESARTAN MEDOXOMIL,BOITE DE 30,COMPRIME PELLICULE,Non Commercialisé
OLMETEC,40 MG,OLMESARTAN MEDOXOMIL,BOITE DE 30,COMPRIME PELLICULE,Non Commercialisé
OLOHISTINE,1 MG / ML,OLOPATADINE HYDROCHLORIDE,BOITE D'UN FLACON DE 5 ML,COLLYRE EN SOLUTION,Non Commercialisé
OLOXINE,200 MG,OFLOXACINE,BOITE DE 20,COMPRIME,Commercialisé
OLOXINE,200 MG,OFLOXACINE,BOITE DE 10,COMPRIME PELLICULE,Commercialisé
OLUMIANT,2 MG,BARICITINIB,BOITE DE 28 COMPRIMES PELLICULES,COMPRIME PELLICULE,Commercialisé
OLUMIANT,4 MG,BARICITINIB,BOITE DE 28 COMPRIMES PELLICULES,COMPRIME PELLICULE,Commercialisé
OLYNZA,10 MG,OLANZAPINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
OLYNZA,5 MG,OLANZAPINE,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
OMACOR,1000 MG,ESTERS ETHYLIQUES D'ACIDES GRAS IODES DE L'HUILE D'OEILLETTE,BOITE DE 28,CAPSULE MOLLE OBLONGUE,Non Commercialisé
OMEGEN,10 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Commercialisé
OMEGEN,10 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OMEGEN,10 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OMEGEN,20 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Commercialisé
OMEGEN,20 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OMEGEN,20 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OMEPRAL,20 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Commercialisé
OMEPRAL,20 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OMEPRAL,20 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OMEPRAZOLE GT,40 MG,OMEPRAZOLE,BOITE DE 5 FLACONS,POUDRE POUR SOLUTION INJECTABLE OU POUR PERFUSION,Commercialisé
OMEPRAZOLE GT,40 MG,OMEPRAZOLE,BOITE DE 10 FLACONS,POUDRE POUR SOLUTION POUR PERFUSION,Commercialisé
OMEPRAZOLE NORMON,40 MG,OMEPRAZOLE,BOITE DE 1 FLACON,LYOPHILISAT POUR PERFUSION IV,Commercialisé
OMEPRAZOLE NORMON,40 MG,OMEPRAZOLE,BOITE DE 50 FL,LYOPHILISAT POUR PERFUSION IV,Commercialisé AO
OMEPRAZOLE SP,40 MG,OMEPRAZOLE,BOITE DE 1,LYOPHILISAT POUR SOLUTION INJECTABLE EN FLACON DE 10 ML,Commercialisé
OMIZ,10 MG,OMEPRAZOLE,BOITE DE 14,GELULE,Commercialisé
OMIZ,10 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OMIZ,10 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OMIZ,20 MG,OMEPRAZOLE,BOITE DE 28,GELULE,Commercialisé
OMIZ,20 MG,OMEPRAZOLE,BOITE DE 7,GELULE,Commercialisé
OMIZ,20 MG,OMEPRAZOLE,BOITE DE 14,MICROGRANULES GASTRORESISTANTS EN GELULE,Commercialisé
OMNIPAQUE,300 MG I / ML,IOHEXOL,FLACON EN VERRE DE 100 ML,SOLUTION INJECTABLE,Commercialisé
OMNIPAQUE,300 MG I / ML,IOHEXOL,FLACON EN VERRE DE 50ML,SOLUTION INJECTABLE,Commercialisé
OMNIPAQUE,350 MG I / ML,IOHEXOL,FLACON EN VERRE DE 100 ML,SOLUTION INJECTABLE,Commercialisé
OMNIPAQUE,350 MG I / ML,IOHEXOL,FLACON EN VERRE DE 50ML,SOLUTION INJECTABLE,Commercialisé
OMNIPAQUE,300 MG I / ML,IOHEXOL,FLACON EN POLYPROPYLENE DE 50 ML,SOLUTION INJECTABLE,AMM Sans Prix
OMNIPAQUE,300 MG I / ML,IOHEXOL,FLACON EN POLYPROPYLENE DE 100 ML,SOLUTION INJECTABLE,AMM Sans Prix
OMNIPAQUE,350 MG I / ML,IOHEXOL,FLACON EN POLYPROPYLENE DE 50 ML,SOLUTION INJECTABLE,AMM Sans Prix
OMNIPAQUE,350 MG I / ML,IOHEXOL,FLACON EN POLYPROPYLENE DE 100 ML,SOLUTION INJECTABLE,AMM Sans Prix
OMNISCAN,"0,5 MMOL / ML",GADODIAMIDE,FLACON DE 10ML,SOLUTION INJECTABLE,Retiré du Marché
OMNISCAN,"0,5 MMOL / ML",GADODIAMIDE,FLACON DE 15 ML,SOLUTION INJECTABLE,Retiré du Marché
OMNISCAN,"0,5 MMOL / ML",GADODIAMIDE,FLACON DE 20 ML,SOLUTION INJECTABLE,Retiré du Marché
OMNITROPE,"5 MG / 1,5 ML",SOMATROPINE,"BOITE DE 5 CARTOUCHES DE 1,5 ML",SOLUTION INJECTABLE,Commercialisé
ONBREZ BREEZHALER,150 µG,INDACATEROL (MALEATE),BOITE DE 30,POUDRE POUR INHALATION EN GELULE,Commercialisé
ONBREZ BREEZHALER,300 µG,INDACATEROL (MALEATE),BOITE DE 30,POUDRE POUR INHALATION EN GELULE,Commercialisé
ONDANSETRON AGUETTANT,2 MG / ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 10 AMPOULES DE 2 ML,SOLUTION INJECTABLE,Retiré du Marché
ONDANSETRON AGUETTANT,2 MG / ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 10 AMPOULES DE 4 ML,SOLUTION INJECTABLE,Retiré du Marché
ONDANSETRON GT,8 MG / 4 ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 1 AMPOULE DE 4 ML,SOLUTION INJECTABLE,Non Commercialisé
ONDANSETRON GT,8 MG / 4 ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 5 AMPOULES DE 4 ML,SOLUTION INJECTABLE,Commercialisé
ONDANSETRON MYLAN,4 MG / 2 ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 5 AMPOULES DE 2 ML,SOLUTION INJECTABLE (IV),Commercialisé AO
ONDANSETRON MYLAN,8 MG / 4 ML,ONDANSETRON (CHLOHYDRATE),BOITE DE 5 AMPOULES DE 4 ML,SOLUTION INJECTABLE (IV),Commercialisé
ONDANSETRON NORMON,4 MG / 2 ML,ONDANSETRON,BOITE DE 5 AMPOULES DE 2 ML,SOLUTION INJECTABLE,Non Commercialisé
ONDANSETRON NORMON,4 MG / 2 ML,ONDANSETRON,BOITE DE 50 AMPOULES DE 2 ML,SOLUTION INJECTABLE,Commercialisé
ONDANSETRON NORMON,8 MG / 4 ML,ONDANSETRON,BOITE DE 5 AMPOULES DE 4 ML,SOLUTION INJECTABLE,Commercialisé
ONDANSETRON NORMON,8 MG / 4 ML,ONDANSETRON,BOITE DE 50 AMPOULES DE 4 ML,SOLUTION INJECTABLE,Commercialisé AO
ONGECIN,1 G,GEMCITABINE,POUDRE POUR FLACON DE 50ML,POUDRE POUR SOLUTION,Commercialisé
ONGECIN,200 MG,GEMCITABINE,POUDRE EN FLACON DE 10ML,POUDRE POUR SOLUTION POUR PERFUSION,Commercialisé
ONGLYZA,"2,5 MG",SAXAGLIPTINE,BOITE DE 30,COMPRIME PELLICULE,Non Commercialisé
ONGLYZA,5 MG,SAXAGLIPTINE,BOITE DE 30,COMPRIME PELLICULE,Non Commercialisé
ONICIT,250 µG,PALONOSETRON,BOITE D'UN FLACON DE 5 ML,SOLUTION INJECTABLE,Non Commercialisé
ONIFINE,0.01,TERBINAFINE,TUBE DE 15 G,CREME DERMIQUE,Commercialisé
ONIFINE,0.01,TERBINAFINE,TUBE DE 30 G,CREME DERMIQUE,Commercialisé
ONIFINE,0.01,TERBINAFINE,FLACON DE 30 ML,SOLUTION POUR PULVERISATION CUTANEE,Non Commercialisé
ONIFINE,250 MG,TERBINAFINE,BOITE DE 14,COMPRIME,Non Commercialisé
ONIFINE,250 MG,TERBINAFINE,BOITE DE 28,COMPRIME,Commercialisé
ONIVYDE PEGYLATED LIPOSOMAL,"4,3 MG / ML",IRINOTECAN,FLACON DE 10 ML,DISPERSION A DILUER POUR PERFUSION,Commercialisé
ONSET,8 MG / 4 ML,ONDANSETRON (CHLOHYDRATE),1 AMPOULE DE 4 ML,SOLUTION INJECTABLE,Commercialisé
ONSET,8 MG,ONDANSETRON (CHLOHYDRATE),BOITE DE 10,COMPRIME,Commercialisé
ONYCAL,250 MG,TERBINAFINE,BOITE DE 14,COMPRIME SECABLE,Non Commercialisé
ONYCAL,250 MG,TERBINAFINE,BOITE DE 28,COMPRIME SECABLE,Non Commercialisé
ONYCAL,250 MG,TERBINAFINE,BOITE DE 7,COMPRIME SECABLE,Non Commercialisé
ONYXINE,0.05,AMOROLFINE,"BOITE D'UN FLACON DE 2,5 ML AVEC 10 SPATULES",VERNIS A ONGLES MEDICAMENTEUX,Commercialisé
OPATANOL,1 MG / ML,OLOPATADINE,FLACON DE 5 ML,COLLYRE,Commercialisé
OPAVIR,"0,5 MG",ENTECAVIR,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
OPAVIR,1 MG,ENTECAVIR,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
OPRA DEVA,20 MG,OMEPRAZOLE,BOITE DE 14,GELULE GASTRO-RESISTANTE,Commercialisé
OPRA DEVA,20 MG,OMEPRAZOLE,BOITE DE 28,GELULE GASTRO-RESISTANTE,Commercialisé
OPRA DEVA,20 MG,OMEPRAZOLE,BOITE DE 7,GELULE GASTRO-RESISTANTE,Commercialisé
OPSUMIT,10 MG,MACITENTAN,BOITE DE 30,COMPRIME PELLICULE,Commercialisé
OPTICILLINE,1 G,AMPICILLINE,BOITE DE 6 FLACON +6 SOLVANTS: ALCOOL BENZYLIQUE 3%,POUDRE POUR PREPARATION INJECTABLE,Commercialisé AO
OPTICILLINE,1 G,AMPICILLINE,FLACON + 1 SOLVANT: ALCOOL BENZYLIQUE 3%,POUDRE POUR PREPARATION INJECTABLE,Commercialisé AO
OPTICILLINE,500 MG,AMPICILLINE,BOITE DE 12,GELULE,Retiré du Marché
OPTICILLINE,500 MG,AMPICILLINE,BOITE DE 24,GELULE,Retiré du Marché
OPTICILLINE,500 MG,AMPICILLINE,BOITE DE 1 FLACON + 1 SOLVANT: ALCOOL BENZYLIQUE 3%,POUDRE POUR PREPARATION INJECTABLE,Non Commercialisé
OPTICRON,0.02,CROMOGLICATE DE SODIUM,BOITE DE 1 FLACON DE 10ML,COLLYRE,Non Commercialisé
OPTIPRED,0.01,PREDNISOLONE,FLACON DE 5 ML,COLLYRE,Commercialisé
ORABLOC,40 MG / ML ADRENALINEE A 1: 100 000,ARTICAINE (CHLORHYDRATE) // ADRENALINE,"BOITE D E 100 CARTOUCHES de 1,8 ML",SOLUTION INJECTABLE,AMM Sans Prix
ORABLOC,40 MG / ML ADRENALINEE A 1: 200 000,ARTICAINE (CHLORHYDRATE) // ADRENALINE,"BOITE D E 100 CARTOUCHES de 1,8 ML",SOLUTION INJECTABLE,AMM Sans Prix
ORACILLINE,1 MUI,PHENOXYMETHYLPENICILLINE,BOITE DE 12,COMPRIME,Retiré du Marché
ORADEXON,"0,5 MG",DEXAMETHASONE,BOITE DE 20,COMPRIME,Commercialisé
ORADEXON,5 MG / ML,DEXAMETHASONE (PHOSPHATE SODIQUE),BOITE DE 1 AMPOULE DE 1 ML,SOLUTION INJECTABLE,Retiré du Marché
ORADEXON ELIXIR,"0,05 MG / ML",DEXAMETHASONE,FLACON DE 100 ML,SIROP,Non Commercialisé
ORAGIN,"0,75 MUI / 125 MG",SPIRAMYCINE // METRONIDAZOLE,BOITE DE 30,COMPRIME,Commercialisé
ORAPRED,20 MG,PREDNISOLONE,BOITE DE 15,COMPRIME EFFERVESCENT,Retiré du Marché
ORAPRED,20 MG,PREDNISOLONE,BOITE DE 30,COMPRIME EFFERVESCENT,Commercialisé
ORAPRED,5 MG,PREDNISOLONE,BOITE DE 30,COMPRIME EFFERVESCENT,Commercialisé
ORAPRED,5 MG,PREDNISOLONE,BOITE DE 60,COMPRIME EFFERVESCENT,Retiré du Marché
ORCHIS,"0,075 MG",DESOGESTREL,BOITE DE 28,COMPRIME PELLICULE,Commercialisé
ORELOX,100 MG,CEFPODOXIME PROXETIL,BOITE DE 10,COMPRIME PELLICULE,Commercialisé
ORELOX ENFANT ET NOURRISSONS,40 MG / 5 ML,CEFPODOXIME PROXETIL,FLACON DE 100 ML,SUSPENSION BUVABLE,Commercialisé
ORELOX ENFANT ET NOURRISSONS,40 MG / 5 ML,CEFPODOXIME PROXETIL,FLACON DE 50ML,SUSPENSION BUVABLE,Commercialisé
OREX,125 MG / 5 ML,CEFALEXINE,FLACON DE 60 ML,GRANULE POUR SUSPENSION BUVABLE,Commercialisé
OREX,250 MG / 5 ML,CEFALEXINE,FLACON DE 60 ML,GRANULE POUR SUSPENSION BUVABLE,Commercialisé
OREX,500 MG,CEFALEXINE,BOITE DE 12,GELULE,Commercialisé
ORGALUTRAN,"0,25 MG / 0,5 ML",GANIRELIX,BOITE DE 1 SERINGUE,SOLUTION INJECTABLE,Non Commercialisé
ORGALUTRAN,"0,25 MG / 0,5 ML",GANIRELIX,BOITE DE 5 SERINGUES,SOLUTION INJECTABLE,Commercialisé
OROKEN,200 MG,CEFIXIME (TRIHYDRATE),BOITE DE 8,COMPRIME PELLICULE,Commercialisé
OROKEN ENFANTS,100 MG / 5 ML,CEFIXIME (TRIHYDRATE),FLACON DE 40ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
OROKEN ENFANTS,40 MG / 5 ML,CEFIXIME (TRIHYDRATE),FLACON DE 40 ML,POUDRE POUR SUSPENSION BUVABLE,Commercialisé
OROTREX,10 MG,ISOTRETINOINE,BOITE DE 10,CAPSULE MOLLE,Non Commercialisé
OROTREX,10 MG,ISOTRETINOINE,BOITE DE 30,CAPSULE MOLLE,Commercialisé
OROTREX,10 MG,ISOTRETINOINE,BOITE DE 60,CAPSULE MOLLE,Non Commercialisé
OROTREX,20 MG,ISOTRETINOINE,BOITE DE 60,CAPSULE MOLLE,Non Commercialisé
